procs,num_nodes,avg_mean_time,avg_max_time
2,10,0.0008717500004422618,0.0008846000000630738
2,100,0.0013079499995001242,0.001329799999439274
2,1000,0.0027234500003032736,0.003012299999682
2,10000,0.02650199999970937,0.027813299999252195
2,100000,0.2955161499994574,0.306525199999669
2,1000000,3.5279528500004744,3.6308976000000257
4,10,0.0008837499999572174,0.0009589000001142267
4,100,0.0008233250000557746,0.0008570999998482876
4,1000,0.0023485749998144456,0.002607299998999224
4,10000,0.02436489999990954,0.028437400000257185
4,100000,0.2948597750000772,0.3695833000001585
4,1000000,5.0044219749997865,8.744179499999518
6,10,0.0008326166668363536,0.000994100000752951
6,100,0.0006139499998122725,0.0006761999993614154
6,1000,0.002966766666456048,0.0034226999996462837
6,10000,0.027279133333346788,0.03423369999836723
6,100000,0.5040387333334971,0.831512599999769
6,1000000,6.716945966666572,10.556426699999065
8,10,0.0009367749999000807,0.0011931000008189585
8,100,0.0011197375001756882,0.0011758999989979202
8,1000,0.0038229000001592794,0.0043786999995063525
8,10000,0.026777275000085865,0.03364099999998871
8,100000,0.5098243000002185,0.852942699999403
8,1000000,6.872091237499944,10.674160999999003
10,10,0.0008413299998210278,0.001083599998310092
10,100,0.0015390699996714829,0.0016305999997712206
10,1000,0.004349049999655108,0.005057300000771647
10,10000,0.04136629000004177,0.04834640000080981
10,100000,0.5430240899991986,0.8512656000002607
10,1000000,7.551299900000049,11.528598400000192
12,10,0.0016271249999893673,0.0020402999998623272
12,100,0.0012467666668574868,0.0014222999998310115
12,1000,0.00496461666656008,0.006171299999550683
12,10000,0.044721891666692194,0.05458270000053744
12,100000,0.8128566250000707,1.2953806999994413
12,1000000,10.84925500833333,19.131983400000536
14,10,0.0012934928569978052,0.0017673999991529854
14,100,0.0013057285716838254,0.0014565000001312
14,1000,0.005644471428890289,0.006314399999610032
14,10000,0.047299321428389315,0.05619520000072953
14,100000,0.6315306928572681,0.9423695000004955
14,1000000,8.233852650000179,11.786423999999897
16,10,0.010345224999696256,0.011080000000220025
16,100,0.001523512499716162,0.0018008999995799968
16,1000,0.006107706250304545,0.007876599998780875
16,10000,0.05025044374974641,0.06354300000020885
16,100000,0.8264189562499951,1.3633484999991197
16,1000000,13.557751268750053,21.122475699999995
